"Rewired version: 1.1.3.0"
"Editor Controller Name","Controller Name","Controller GUID","Element Identifier Id","Element Identifier Name","Element Identifier Type"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","101","Button 69","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","102","Button 70","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","103","Button 71","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","104","Button 72","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","105","Button 73","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","106","Button 74","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","107","Button 75","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","108","Button 76","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","109","Button 77","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","110","Button 78","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","111","Button 79","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","112","Button 80","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","113","Button 81","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","114","Button 82","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","115","Button 83","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","116","Button 84","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","117","Button 85","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","118","Button 86","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","119","Button 87","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","120","Button 88","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","121","Button 89","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","122","Button 90","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","123","Button 91","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","124","Button 92","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","125","Button 93","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","126","Button 94","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","127","Button 95","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","128","Button 96","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","129","Button 97","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","130","Button 98","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","131","Button 99","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","132","Button 100","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","133","Button 101","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","134","Button 102","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","135","Button 103","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","136","Button 104","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","137","Button 105","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","138","Button 106","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","139","Button 107","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","140","Button 108","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","141","Button 109","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","142","Button 110","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","143","Button 111","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","144","Button 112","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","145","Button 113","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","146","Button 114","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","147","Button 115","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","148","Button 116","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","149","Button 117","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","150","Button 118","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","151","Button 119","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","152","Button 120","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","153","Button 121","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","154","Button 122","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","155","Button 123","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","156","Button 124","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","157","Button 125","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","158","Button 126","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","159","Button 127","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","160","Hat 0 Up","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","224","Hat 0 Up Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","161","Hat 0 Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","225","Hat 0 Down Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","162","Hat 0 Down","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","226","Hat 0 Down Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","163","Hat 0 Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","227","Hat 0 Up Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","164","Hat 1 Up","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","228","Hat 1 Up Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","165","Hat 1 Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","229","Hat 1 Down Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","166","Hat 1 Down","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","230","Hat 1 Down Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","167","Hat 1 Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","231","Hat 1 Up Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","168","Hat 2 Up","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","232","Hat 2 Up Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","169","Hat 2 Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","233","Hat 2 Down Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","170","Hat 2 Down","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","234","Hat 2 Down Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","171","Hat 2 Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","235","Hat 2 Up Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","172","Hat 3 Up","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","236","Hat 3 Up Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","173","Hat 3 Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","237","Hat 3 Down Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","174","Hat 3 Down","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","238","Hat 3 Down Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","175","Hat 3 Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","239","Hat 3 Up Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","176","Hat 4 Up","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","240","Hat 4 Up Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","177","Hat 4 Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","241","Hat 4 Down Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","178","Hat 4 Down","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","242","Hat 4 Down Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","179","Hat 4 Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","243","Hat 4 Up Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","180","Hat 5 Up","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","244","Hat 5 Up Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","181","Hat 5 Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","245","Hat 5 Down Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","182","Hat 5 Down","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","246","Hat 5 Down Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","183","Hat 5 Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","247","Hat 5 Up Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","184","Hat 6 Up","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","248","Hat 6 Up Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","185","Hat 6 Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","249","Hat 6 Down Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","186","Hat 6 Down","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","250","Hat 6 Down Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","187","Hat 6 Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","251","Hat 6 Up Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","188","Hat 7 Up","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","252","Hat 7 Up Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","189","Hat 7 Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","253","Hat 7 Down Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","190","Hat 7 Down","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","254","Hat 7 Down Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","191","Hat 7 Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","255","Hat 7 Up Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","192","Hat 8 Up","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","256","Hat 8 Up Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","193","Hat 8 Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","257","Hat 8 Down Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","194","Hat 8 Down","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","258","Hat 8 Down Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","195","Hat 8 Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","259","Hat 8 Up Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","196","Hat 9 Up","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","260","Hat 9 Up Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","197","Hat 9 Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","261","Hat 9 Down Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","198","Hat 9 Down","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","262","Hat 9 Down Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","199","Hat 9 Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","263","Hat 9 Up Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","200","Hat 10 Up","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","264","Hat 10 Up Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","201","Hat 10 Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","265","Hat 10 Down Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","202","Hat 10 Down","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","266","Hat 10 Down Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","203","Hat 10 Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","267","Hat 10 Up Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","204","Hat 11 Up","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","268","Hat 11 Up Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","205","Hat 11 Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","269","Hat 11 Down Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","206","Hat 11 Down","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","270","Hat 11 Down Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","207","Hat 11 Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","271","Hat 11 Up Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","208","Hat 12 Up","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","272","Hat 12 Up Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","209","Hat 12 Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","273","Hat 12 Down Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","210","Hat 12 Down","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","274","Hat 12 Down Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","211","Hat 12 Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","275","Hat 12 Up Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","212","Hat 13 Up","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","276","Hat 13 Up Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","213","Hat 13 Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","277","Hat 13 Down Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","214","Hat 13 Down","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","278","Hat 13 Down Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","215","Hat 13 Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","279","Hat 13 Up Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","216","Hat 14 Up","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","280","Hat 14 Up Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","217","Hat 14 Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","281","Hat 14 Down Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","218","Hat 14 Down","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","282","Hat 14 Down Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","219","Hat 14 Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","283","Hat 14 Up Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","220","Hat 15 Up","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","284","Hat 15 Up Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","221","Hat 15 Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","285","Hat 15 Down Right","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","222","Hat 15 Down","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","286","Hat 15 Down Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","223","Hat 15 Left","1"
"Unknown Controller","Unknown Controller","00000000-0000-0000-0000-000000000000","287","Hat 15 Up Left","1"
"Xbox 360 Controller","Xbox 360 Controller","d74a350e-fe8b-4e9e-bbcd-efff16d34115","0","Left Stick X","0"
"Xbox 360 Controller","Xbox 360 Controller","d74a350e-fe8b-4e9e-bbcd-efff16d34115","1","Left Stick Y","0"
"Xbox 360 Controller","Xbox 360 Controller","d74a350e-fe8b-4e9e-bbcd-efff16d34115","2","Right Stick X","0"
